,tweet,label
0,"The Traina Family in red and blue! Thank you first responders, law enforcement, and military! https://t.co/QjcC1nWQIY",1
1,"@YMCAGBC in Hackensack is pleased to reopen childcare, summer camp and outdoor fitness programs.  The Happy Days Early Childhood Learning Center reopened on June 15th welcoming back children ages 2-5. Additional spaces are available for new children to enroll. https://t.co/vuhy329QED",1
2,Good News from #Seattle NIH Clinical Trial of Investigational Vaccine for COVID-19 Begins | NIH: National Institute of Allergy and Infectious Diseases https://t.co/4io1Xf3ly1,1
3,"@MGLemieux I'm pursuing an Msc in Biochemistry in a developing country. I'm almost done with my first year and I've not done any lab work yet!

I would hope that universities here invest in laboratory equipments for better learning and for confidence too.",1
4,COVID-19 Vaccine Candidate Shows Promise in First Peer-Reviewed Research | Pittwire | University of Pittsburgh https://t.co/OoDzF1vKGh,1
5,Study reveals how drug meant for #Ebola may also work against coronaviruses @WorldPharmaNews | #ECM https://t.co/KZr5eDLVV8,1
6,"A Certain Type of N95 Mask May Do More Harm Than Good
https://t.co/gXJfiQefp4

#facemask #mask https://t.co/uJJ5vP3p9T",1
7,"CDC provides guidance for cleaning and disinfecting to protect against the spread of COVID-19. https://t.co/F99COmavtX
We offer a solution for you to ensure your customers are not exposed to the virus. Visit https://t.co/PVyBCNuv9W",1
8,Health News :  Poll: Most Educators Wary of Fall School Reopening: Nearly 2 in 3 educators… https://t.co/pd6jYlD6Lb,1
9,"@GovWOparanya @KenyaGovernors @StateHouseKenya Disaster in the making I think... With the worrying levels of UNPREPAREDNESS? I can bet YOU will REGRET your ADVISE bwana Gavana.

We need not to make POPULIST decisions/Comments... Does Kakamega have a 300bed facility(s) to tackle Covid-19? What about your MITUNGI neighbours?",1
10,Care for Breastfeeding Women | CDC https://t.co/EBzEqqAazf,1
11,"Won’t it be nice when the percentage of confirmed cases and deaths in Harris County are no longer in the “+” category? #stayhome @ Harris County, Texas https://t.co/YDju9g40IF",1
12,"Deaths from COVID-19 are being highly underreported and in some cases that appears to be deliberate. Under reporting the numbers &amp; obstructing the delivery of test kits is how Trump &amp; the WH is handling the Coronavirus, by all means let’s open up America  https://t.co/GSb2HE4DNM",1
13,"What Life Is Like Waiting for an Organ Transplant During the COVID-19 Pandemic In the United States, the number of recovered organs dropped by about 50 percent from early March to early April. The number of transplanted kidneys…

(Feed generated with FetchRSS)",1
